icon,Name,CostText,SkillText,CostIcon,SkillIcon,AuditRiskIcon,EffectText,Type,FlavorText
,Automated Routing System,1,,,,,You may refer up to 2 unassigned issues each turn,Equipment,Makes it someone else's problem
,Automated Routing System,1,,,,,You may refer up to 2 unassigned issues each turn,Equipment,Makes it someone else's problem
,Remote Desktop Service,2,,,,,+2 Skill to Resolve All Software Issues,Equipment,Close your porn before calling for support
,Field Service Station,2,,,,,+2 Skill to Resolve All Hardware Issues,Equipment,Like a Bat cave in every office
,Network Diagnostic Tools,2,,,,,+2 Skill to Resolve All Network Issues,Equipment,FlavorTextHere
,Phone Tree Labyrinth,3,,,,,-1 Cards at Dispatch,Equipment,To speak to an agent press -1
,Test Server,2,,,,,+2 Skill to Resolve All Server Issues,Equipment,We should reboot the server. It's become self aware
,Warm Transfer System,4,,,,,Can Immediately Assign Issues Referred to You if You Have Available Technicians,Equipment,Hi. Can you deal with this one?
technicians.svg,Kiesha,1,1,,,,Audit Risk. Reduce Csat by 1. Discard issue assigned to Kiesha,Technician,"""Um. . ."" *click*"
technicians.svg,Jeff,3,4,,,,Discard User Errors Assigned to Jeff.  Do Not Gain any Csat from Issues Resolved by Jeff,Technician,"Your computer is not filled with spiders, you're just an idiot"
technicians.svg,Lucky Technician,1,2,,,,Reroll One Failure,Technician,A lot of these issues seem to fix themselves
technicians.svg,Lucky Technician,1,2,,,,Reroll One Failure,Technician,A lot of these issues seem to fix themselves
technicians.svg,Technician,1,1,,,,,Technician,Sometimes you just need an ass to fill the seat
technicians.svg,Technician,1,1,,,,,Technician,Sometimes you just need an ass to fill the seat
technicians.svg,Technician,1,2,,,,,Technician,FlavorTextHere
technicians.svg,Technician,1,2,,,,,Technician,FlavorTextHere
technicians.svg,Software Specialist,1,1,,,,+2 to Resolve Software Issues,Technician,FlavorTextHere
technicians.svg,Hardware Specialist,1,1,,,,+2 to Resolve Hardware Issues,Technician,FlavorTextHere
technicians.svg,Network Specialist,1,1,,,,+2 to Resolve Network Issues,Technician,FlavorTextHere
technicians.svg,Server Specialist,1,1,,,,+2 to Resolve Server Issues,Technician,FlavorTextHere
technicians.svg,Technician,1,2,,,,,Technician,FlavorTextHere
technicians.svg,CS Student,1,4,,,,Audit Risk,Technician,I'm sure I can automate this
technicians.svg,CS Student,1,4,,,,Audit Risk,Technician,I'm sure I can automate this
technicians.svg,Bruce,1,0,,,,"Audit Risk.  Can Refer Any Issue, Regardless of Difficulty or Contracts.",Technician,I'm Bill Gates!
technicians.svg,Bob,1,0,,,,"Audit Risk.  Can Refer Any Issue, Regardless of Difficulty or Contracts.",Technician,"Never trust the banks, those things are scams"
technicians.svg,Hacker,2,2,,,,Audit Risk.  Reduce Stability by 1. Automatically Resolve Issue,Technician,Hack the Planet!
technicians.svg,Technician,2,4,,,,,Technician,FlavorTextHere
technicians.svg,Technician,2,4,,,,,Technician,FlavorTextHere
technicians.svg,Engineer,3,4,,,,Can Reroll one Failure per Turn,Technician,Some people patch out issues. Others redesign from scratch
technicians.svg,Engineer,3,4,,,,Can Reroll one Failure per Turn,Technician,Some people patch out issues. Others redesign from scratch
technicians.svg,Software Specialist,2,3,,,,+2 to Resolve Software Issues,Technician,FlavorTextHere
technicians.svg,Hardware Specialist,2,3,,,,+2 to Resolve Hardware Issues,Technician,FlavorTextHere
technicians.svg,Network Specialist,2,3,,,,+2 to Resolve Network Issues,Technician,FlavorTextHere
technicians.svg,Server Specialist,2,3,,,,+2 to Resolve Server Issues,Technician,FlavorTextHere
technicians.svg,Software Specialist,2,3,,,,+2 to Resolve Software Issues,Technician,FlavorTextHere
technicians.svg,Hardware Specialist,2,3,,,,+2 to Resolve Hardware Issues,Technician,FlavorTextHere
technicians.svg,Network Specialist,2,3,,,,+2 to Resolve Network Issues,Technician,FlavorTextHere
technicians.svg,Server Specialist,2,3,,,,+2 to Resolve Server Issues,Technician,FlavorTextHere
technicians.svg,Lois,2,3,,,,Instead of working an issue: give another technician +3 skill until end of turn,Technician,FlavorTextHere
technicians.svg,Negotiator,2,2,,,,If you do not assign a card to Negotiator you win ties when bidding on contracts this turn,Technician,FlavorTextHere
technicians.svg,Karen,1,1,,,,+1 CSat when failing to resolve an issue,Technician,FlavorTextHere
